return_id,order_id,order_item_id,sku_id,customer_id,return_reason,return_note,return_date,return_status,refund_amount,return_shipping_cost,condition_received
RET0000050,ORD0000120,OI0000268,SKU00155,CUST00043,Too light,Wood tone is much lighter than the rich warm color shown.,2026-02-16 17:24:55.000000,Refunded,64.22,16.39,Unused
RET0000051,ORD0000122,OI0000270,SKU00090,CUST00044,Not as described,Brass accents are actually painted plastic.,2025-01-04 15:30:44.000000,Refunded,136.88,14.12,Used
RET0000052,ORD0000126,OI0000279,SKU00232,CUST00045,Not as described,Measurements online are wrong - about 3 inches narrower.,2024-11-22 07:50:08.000000,Refunded,287.17,12.58,Used
RET0000053,ORD0000127,OI0000280,SKU00280,CUST00046,Quality didn't meet expectations,"For this price, I expected much better materials.",2024-09-04 03:10:36.000000,Inspected,206.59,13.68,Unused
RET0000054,ORD0000134,OI0000296,SKU00236,CUST00050,Defective,Light socket is faulty - bulb flickers.,2025-01-22 22:30:22.000000,Refunded,206.45,28.26,Used
RET0000055,ORD0000137,OI0000302,SKU00405,CUST00051,Defective,Pre-drilled holes don't line up with hardware.,2024-12-18 01:48:01.000000,Refunded,228.21,20.72,Unused
RET0000056,ORD0000137,OI0000304,SKU00168,CUST00051,Color mismatch,Color variation is significant from the photos.,2024-12-20 01:48:01.000000,Refunded,223.76,12.78,Used
RET0000057,ORD0000139,OI0000310,SKU00211,CUST00051,Too light,Finish is practically white-washed.,2025-08-11 06:59:00.000000,Refunded,437.58,17.56,Unused
RET0000058,ORD0000144,OI0000327,SKU00342,CUST00052,Too dark,Finish is at least two shades darker than shown.,2025-07-16 06:48:41.000000,Refunded,163.29,10.07,Unused
RET0000059,ORD0000148,OI0000340,SKU00062,CUST00053,Defective,Light socket is faulty - bulb flickers.,2025-11-02 23:08:48.000000,Processing,175.95,10.1,Used
RET0000060,ORD0000150,OI0000344,SKU00399,CUST00055,Quality didn't meet expectations,"For this price, I expected much better materials.",2024-05-12 17:57:32.000000,Received,468.74,8.64,Unused
RET0000061,ORD0000155,OI0000351,SKU00249,CUST00057,Defective,Drawer doesn't close flush - frame is warped.,2025-10-02 22:22:35.000000,Received,143.08,8.3,Used
RET0000062,ORD0000156,OI0000352,SKU00009,CUST00058,Defective,Drawer doesn't close flush - frame is warped.,2025-11-05 05:34:42.000000,Refunded,56.42,21.88,Unused
RET0000063,ORD0000156,OI0000353,SKU00095,CUST00058,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-10-27 05:34:42.000000,Refunded,255.81,15.51,Used
RET0000064,ORD0000156,OI0000354,SKU00137,CUST00058,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-11-07 05:34:42.000000,Refunded,236.98,19.48,Damaged
RET0000065,ORD0000158,OI0000359,SKU00175,CUST00058,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-11-27 21:48:35.000000,Refunded,41.67,28.02,Used
RET0000066,ORD0000160,OI0000363,SKU00088,CUST00059,Damaged upon arrival,One of the legs is bent and won't attach properly.,2024-10-02 11:25:56.000000,Inspected,115.97,21.28,Damaged
RET0000067,ORD0000167,OI0000377,SKU00333,CUST00060,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-08-15 10:53:24.000000,Received,228.71,8.11,Damaged
RET0000068,ORD0000169,OI0000382,SKU00266,CUST00061,Not as described,Brass accents are actually painted plastic.,2025-09-28 16:52:12.000000,Refunded,105.33,15.23,Used
RET0000069,ORD0000174,OI0000391,SKU00249,CUST00061,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-12-12 16:50:39.000000,Received,141.36,28.77,Unused
RET0000070,ORD0000176,OI0000395,SKU00410,CUST00062,Damaged upon arrival,One of the legs is bent and won't attach properly.,2024-12-31 15:54:55.000000,Received,196.93,16.46,Damaged
RET0000071,ORD0000187,OI0000413,SKU00130,CUST00064,Too light,Piece almost disappears because it's so light.,2025-09-26 21:36:51.000000,Refunded,89.08,12.47,Used
RET0000072,ORD0000189,OI0000417,SKU00185,CUST00064,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2025-10-12 12:33:10.000000,Received,129.35,9.14,Damaged
RET0000073,ORD0000193,OI0000424,SKU00207,CUST00066,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-08-18 12:27:39.000000,Received,156.5,9.81,Damaged
RET0000074,ORD0000194,OI0000429,SKU00005,CUST00066,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-07-15 11:19:20.000000,Received,89.55,15.14,Unused
RET0000075,ORD0000206,OI0000447,SKU00406,CUST00070,Defective,Pre-drilled holes don't line up with hardware.,2025-08-15 15:25:21.000000,Refunded,120.47,19.09,Unused
RET0000076,ORD0000214,OI0000463,SKU00151,CUST00074,Difficult assembly,Instructions were just bad diagrams with no text.,2025-05-29 11:24:19.000000,Received,104.78,29.38,Unused
RET0000077,ORD0000214,OI0000464,SKU00066,CUST00074,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2025-06-07 11:24:19.000000,Refunded,152.32,16.64,Damaged
RET0000078,ORD0000217,OI0000471,SKU00321,CUST00074,Quality didn't meet expectations,"For this price, I expected much better materials.",2026-03-19 09:39:34.000000,Received,34.57,25.87,Unused
RET0000079,ORD0000218,OI0000475,SKU00372,CUST00074,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2026-01-15 17:24:30.000000,Refunded,39.44,26.04,Damaged
RET0000080,ORD0000221,OI0000479,SKU00151,CUST00076,Quality didn't meet expectations,Construction feels flimsy and unstable.,2025-09-12 04:17:58.000000,Received,119.6,13.18,Used
RET0000081,ORD0000224,OI0000484,SKU00025,CUST00076,Too light,Pale compared to the product photography.,2025-06-05 19:09:11.000000,Refunded,370.14,10.22,Used
RET0000082,ORD0000225,OI0000488,SKU00411,CUST00077,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-09-18 01:33:49.000000,Received,157.85,24.22,Unused
RET0000083,ORD0000226,OI0000492,SKU00272,CUST00077,Not as described,Description said solid wood but this is veneer over particle board.,2025-08-22 01:18:14.000000,Refunded,348.95,28.75,Used
RET0000084,ORD0000227,OI0000494,SKU00216,CUST00077,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-08-21 10:17:22.000000,Received,39.14,18.93,Damaged
RET0000085,ORD0000231,OI0000499,SKU00215,CUST00079,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2025-11-23 20:39:40.000000,Refunded,44.78,10.88,Damaged
RET0000086,ORD0000232,OI0000501,SKU00342,CUST00080,Too light,Pale compared to the product photography.,2024-10-31 20:41:57.000000,Inspected,57.42,25.51,Unused
RET0000087,ORD0000234,OI0000505,SKU00122,CUST00080,Not as described,Brass accents are actually painted plastic.,2024-12-14 13:04:10.000000,Received,151.71,18.04,Used
RET0000088,ORD0000236,OI0000508,SKU00170,CUST00081,Difficult assembly,Need three hands to hold pieces while screwing.,2026-01-25 21:51:12.000000,Processing,77.83,21.21,Unused
RET0000089,ORD0000236,OI0000509,SKU00284,CUST00081,Defective,Light socket is faulty - bulb flickers.,2026-01-05 21:51:12.000000,Refunded,59.06,25.04,Unused
RET0000090,ORD0000236,OI0000510,SKU00171,CUST00081,Too light,Finish is practically white-washed.,2026-01-14 21:51:12.000000,Refunded,581.54,12.84,Unused
RET0000091,ORD0000236,OI0000511,SKU00405,CUST00081,Defective,Light socket is faulty - bulb flickers.,2026-01-10 21:51:12.000000,Inspected,228.21,13.17,Unused
RET0000092,ORD0000239,OI0000517,SKU00270,CUST00082,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2024-05-21 09:45:13.000000,Received,229.33,17.11,Unused
RET0000093,ORD0000248,OI0000535,SKU00361,CUST00085,Not as described,Brass accents are actually painted plastic.,2025-03-13 08:10:18.000000,Refunded,517.76,22.26,Used
RET0000094,ORD0000252,OI0000543,SKU00075,CUST00087,Not as described,Brass accents are actually painted plastic.,2024-10-01 10:58:00.000000,Refunded,184.06,19.93,Used
RET0000095,ORD0000256,OI0000553,SKU00338,CUST00089,Too light,Wood tone is much lighter than the rich warm color shown.,2025-05-23 10:17:23.000000,Inspected,646.91,12.6,Unused
RET0000096,ORD0000258,OI0000556,SKU00234,CUST00090,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-10-31 22:37:51.000000,Refunded,105.8,14.71,Unused
RET0000097,ORD0000258,OI0000557,SKU00007,CUST00090,Not as described,Shown with decorative pillows that weren't included.,2024-10-31 22:37:51.000000,Refunded,66.48,23.14,Used
RET0000098,ORD0000268,OI0000581,SKU00185,CUST00092,Too light,Pale compared to the product photography.,2024-07-24 05:21:45.000000,Refunded,105.1,27.02,Unused
RET0000099,ORD0000269,OI0000585,SKU00126,CUST00092,Defective,Pre-drilled holes don't line up with hardware.,2025-12-19 01:14:22.000000,Refunded,464.42,22.02,Used
RET0000100,ORD0000273,OI0000594,SKU00319,CUST00094,Damaged upon arrival,Paint is chipped off in several places.,2026-01-18 00:07:31.000000,Received,206.54,22.85,Damaged
RET0000101,ORD0000274,OI0000595,SKU00381,CUST00095,Quality didn't meet expectations,"For this price, I expected much better materials.",2025-10-28 23:10:01.000000,Refunded,117.5,15.1,Unused
RET0000102,ORD0000274,OI0000596,SKU00096,CUST00095,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-10-19 23:10:01.000000,Inspected,21.53,22.74,Used
RET0000103,ORD0000278,OI0000607,SKU00083,CUST00096,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2025-07-11 09:13:42.000000,Refunded,84.73,13.82,Damaged
RET0000104,ORD0000282,OI0000615,SKU00035,CUST00097,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2024-08-03 16:43:10.000000,Inspected,270.02,22.69,Used
RET0000105,ORD0000282,OI0000616,SKU00176,CUST00097,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-08-12 16:43:10.000000,Refunded,118.3,25.44,Used
RET0000106,ORD0000282,OI0000617,SKU00069,CUST00097,Color mismatch,Color variation is significant from the photos.,2024-07-28 16:43:10.000000,Received,157.21,21.45,Used
RET0000107,ORD0000283,OI0000619,SKU00276,CUST00097,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-04-08 23:29:47.000000,Inspected,53.15,10.46,Used
RET0000108,ORD0000283,OI0000620,SKU00160,CUST00097,Defective,Pre-drilled holes don't line up with hardware.,2025-04-13 23:29:47.000000,Processing,98.67,29.3,Unused
RET0000109,ORD0000284,OI0000621,SKU00183,CUST00098,Not as described,Brass accents are actually painted plastic.,2024-08-18 00:03:08.000000,Processing,123.57,22.49,Unused
RET0000110,ORD0000285,OI0000624,SKU00020,CUST00098,Defective,Light socket is faulty - bulb flickers.,2025-12-28 21:55:10.000000,Refunded,36.06,15.05,Used
RET0000111,ORD0000286,OI0000625,SKU00270,CUST00098,Defective,Light socket is faulty - bulb flickers.,2025-04-21 08:00:32.000000,Refunded,244.35,26.66,Unused
RET0000112,ORD0000289,OI0000632,SKU00176,CUST00100,Too dark,In evening lighting it's almost black.,2025-06-26 13:33:14.000000,Inspected,124.95,21.18,Used
RET0000113,ORD0000290,OI0000635,SKU00192,CUST00100,Damaged upon arrival,One of the legs is bent and won't attach properly.,2025-08-05 22:28:01.000000,Refunded,1144.76,10.02,Damaged
RET0000114,ORD0000291,OI0000636,SKU00004,CUST00100,Defective,One leg is shorter so the table wobbles.,2024-12-25 21:17:38.000000,Refunded,55.21,15.47,Unused
RET0000115,ORD0000299,OI0000648,SKU00296,CUST00102,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-06-04 12:10:42.000000,Refunded,298.46,29.91,Unused
RET0000116,ORD0000300,OI0000651,SKU00108,CUST00102,Too light,Piece almost disappears because it's so light.,2025-03-30 21:27:20.000000,Refunded,608.98,9.26,Used
RET0000117,ORD0000302,OI0000656,SKU00145,CUST00104,Not as described,Shown with decorative pillows that weren't included.,2026-03-20 19:25:43.000000,Inspected,305.96,26.72,Used
RET0000118,ORD0000303,OI0000658,SKU00045,CUST00104,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2025-06-30 23:30:17.000000,Received,72.6,25.32,Damaged
RET0000119,ORD0000304,OI0000659,SKU00095,CUST00104,Color mismatch,The navy I received is practically black.,2025-04-17 18:51:48.000000,Processing,256.1,15.89,Used
RET0000120,ORD0000308,OI0000665,SKU00253,CUST00106,Color mismatch,Color variation is significant from the photos.,2026-02-28 13:51:37.000000,Processing,54.89,22.16,Used
RET0000121,ORD0000309,OI0000668,SKU00011,CUST00106,Damaged upon arrival,Paint is chipped off in several places.,2025-05-06 03:00:15.000000,Refunded,73.17,21.89,Damaged
RET0000122,ORD0000325,OI0000698,SKU00345,CUST00111,Defective,Drawer doesn't close flush - frame is warped.,2024-06-19 14:49:32.000000,Inspected,93.09,27.93,Used
RET0000123,ORD0000326,OI0000703,SKU00074,CUST00112,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-11-02 15:52:18.000000,Refunded,702.94,18.74,Unused
RET0000124,ORD0000329,OI0000707,SKU00040,CUST00113,Too light,Finish is practically white-washed.,2024-11-22 11:34:05.000000,Processing,162.13,23.78,Unused
RET0000125,ORD0000330,OI0000713,SKU00314,CUST00113,Damaged upon arrival,Paint is chipped off in several places.,2025-01-25 07:04:59.000000,Refunded,319.97,28.92,Damaged
RET0000126,ORD0000335,OI0000725,SKU00001,CUST00116,Defective,Pre-drilled holes don't line up with hardware.,2024-08-06 21:54:39.000000,Refunded,740.98,11.47,Unused
RET0000127,ORD0000335,OI0000726,SKU00250,CUST00116,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2024-08-14 21:54:39.000000,Processing,425.09,25.21,Unused
RET0000128,ORD0000338,OI0000732,SKU00005,CUST00118,Damaged upon arrival,Glass component was shattered inside the box.,2025-02-18 22:43:36.000000,Refunded,103.61,11.73,Damaged
RET0000129,ORD0000347,OI0000746,SKU00325,CUST00119,Not as described,Measurements online are wrong - about 3 inches narrower.,2025-06-22 21:26:10.000000,Processing,10.55,29.7,Used
RET0000130,ORD0000349,OI0000748,SKU00088,CUST00120,Too dark,Finish is at least two shades darker than shown.,2025-03-10 09:01:29.000000,Refunded,114.41,8.97,Unused
RET0000131,ORD0000352,OI0000752,SKU00276,CUST00123,Defective,Light socket is faulty - bulb flickers.,2026-01-25 08:38:53.000000,Refunded,55.2,22.71,Used
RET0000132,ORD0000353,OI0000755,SKU00112,CUST00123,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-03-22 18:28:27.000000,Processing,117.09,24.67,Unused
RET0000133,ORD0000354,OI0000758,SKU00171,CUST00123,Defective,Pre-drilled holes don't line up with hardware.,2025-02-21 22:48:19.000000,Refunded,199.8,21.07,Used
RET0000134,ORD0000357,OI0000766,SKU00028,CUST00124,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-07-23 02:27:38.000000,Refunded,275.67,22.56,Used
RET0000135,ORD0000361,OI0000771,SKU00128,CUST00125,Quality didn't meet expectations,"For this price, I expected much better materials.",2026-03-11 11:03:41.000000,Refunded,987.36,9.35,Unused
RET0000136,ORD0000367,OI0000787,SKU00079,CUST00128,Defective,Pre-drilled holes don't line up with hardware.,2025-01-27 15:41:26.000000,Refunded,1064.44,13.64,Used
RET0000137,ORD0000369,OI0000792,SKU00118,CUST00129,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-12-06 16:13:32.000000,Refunded,71.15,15.62,Used
RET0000138,ORD0000372,OI0000797,SKU00406,CUST00130,Defective,Light socket is faulty - bulb flickers.,2026-03-26 23:50:03.000000,Received,120.47,26.7,Unused
RET0000139,ORD0000372,OI0000799,SKU00367,CUST00130,Too light,Piece almost disappears because it's so light.,2026-03-23 23:50:03.000000,Inspected,133.01,22.68,Unused
RET0000140,ORD0000378,OI0000810,SKU00190,CUST00134,Too light,Pale compared to the product photography.,2025-07-04 15:04:31.000000,Inspected,92.34,13.91,Unused
RET0000141,ORD0000379,OI0000814,SKU00355,CUST00134,Too dark,In evening lighting it's almost black.,2026-01-03 17:03:17.000000,Refunded,30.66,21.01,Unused
RET0000142,ORD0000383,OI0000821,SKU00133,CUST00135,Not as described,Shown with decorative pillows that weren't included.,2025-04-28 15:41:18.000000,Refunded,396.74,27.01,Unused
RET0000143,ORD0000385,OI0000825,SKU00021,CUST00136,Too light,Wood tone is much lighter than the rich warm color shown.,2024-11-30 10:18:51.000000,Refunded,25.81,9.12,Unused
RET0000144,ORD0000388,OI0000830,SKU00375,CUST00136,Not as described,Brass accents are actually painted plastic.,2024-05-23 23:29:35.000000,Inspected,217.69,19.19,Unused
RET0000145,ORD0000392,OI0000838,SKU00274,CUST00137,Quality didn't meet expectations,Cushions losing shape after just a month.,2025-10-07 22:33:13.000000,Received,106.39,28.67,Used
RET0000146,ORD0000392,OI0000839,SKU00188,CUST00137,Damaged upon arrival,Huge scratch across the top surface. Looks like it was dragged.,2025-10-15 22:33:13.000000,Refunded,96.73,19.54,Damaged
RET0000147,ORD0000396,OI0000849,SKU00126,CUST00138,Defective,Light socket is faulty - bulb flickers.,2024-08-27 15:05:17.000000,Refunded,232.21,25.92,Used
RET0000148,ORD0000400,OI0000863,SKU00373,CUST00139,Too light,Wood tone is much lighter than the rich warm color shown.,2024-08-15 13:35:09.000000,Processing,61.16,19.66,Used
RET0000149,ORD0000404,OI0000871,SKU00132,CUST00140,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2026-03-23 20:48:38.000000,Refunded,749.12,14.38,Unused
RET0000150,ORD0000404,OI0000872,SKU00290,CUST00140,Difficult assembly,Holes for cam locks were drilled too shallow.,2026-04-09 20:48:38.000000,Received,96.02,8.19,Unused
RET0000151,ORD0000412,OI0000887,SKU00384,CUST00142,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-03-23 08:21:09.000000,Refunded,64.11,15.61,Unused
RET0000152,ORD0000415,OI0000894,SKU00254,CUST00143,Quality didn't meet expectations,Construction feels flimsy and unstable.,2025-04-23 01:06:51.000000,Processing,166.69,17.82,Unused
RET0000153,ORD0000415,OI0000895,SKU00044,CUST00143,Quality didn't meet expectations,Drawer slides are already sticking after two weeks.,2025-04-30 01:06:51.000000,Received,159.09,21.49,Unused
RET0000154,ORD0000416,OI0000898,SKU00021,CUST00143,Difficult assembly,Need three hands to hold pieces while screwing.,2024-09-14 14:06:21.000000,Refunded,24.49,18.76,Used
RET0000155,ORD0000416,OI0000900,SKU00092,CUST00143,Defective,Pre-drilled holes don't line up with hardware.,2024-09-24 14:06:21.000000,Received,29.32,11.72,Used
RET0000156,ORD0000416,OI0000901,SKU00144,CUST00143,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2024-09-27 14:06:21.000000,Refunded,571.01,17.41,Used
RET0000157,ORD0000416,OI0000902,SKU00114,CUST00143,Damaged upon arrival,The box arrived crushed and the corner was cracked.,2024-09-10 14:06:21.000000,Inspected,17.89,9.7,Damaged
RET0000158,ORD0000417,OI0000903,SKU00185,CUST00143,Too light,Wood tone is much lighter than the rich warm color shown.,2024-05-31 11:48:17.000000,Refunded,116.14,22.37,Used
