customer_id,age_group,lifestyle_tags,preferred_styles,Preferred_colors,lighting_condition,avg_spend,return_rate
CUST00039,45-54,eco_conscious|couple,Bohemian|Eclectic,Black & White|Neutrals,Dim Artificial,592.74,0.322
CUST00040,35-44,homeowner|couple,Minimalist|Scandinavian,Monochrome,Mixed,463.24,0.259
CUST00041,55-64,single|home_chef,Bohemian|Mid-Century,Greens|Blues,Dim Artificial,1202.05,0.166
CUST00042,35-44,diy_enthusiast|home_chef|frequent_entertainer,Traditional|Industrial|Minimalist,Jewel Tones,Mixed,897.27,0.139
CUST00043,25-34,homeowner|eco_conscious,Bohemian|Traditional,Neutrals|Jewel Tones,Dim Natural,164.28,0.039
CUST00044,35-44,frequent_entertainer|homeowner,Scandinavian,Jewel Tones,Mixed,409.49,0.145
CUST00045,35-44,renter|single|couple|eco_conscious,Eclectic|Traditional|Mid-Century,Pastels,Mixed,475.6,0.33
CUST00046,18-24,frequent_entertainer|renter|eco_conscious,Scandinavian,Black & White|Pastels,Bright Artificial,930.99,0.136
CUST00047,25-34,diy_enthusiast|frequent_entertainer|homeowner,Industrial,Jewel Tones|Neutrals,Dim Artificial,926.14,0.576
CUST00048,45-54,eco_conscious|renter|family_with_kids|frequent_entertainer,Scandinavian|Farmhouse,Pastels,Dim Artificial,835.07,0.091
CUST00049,65+,pet_owner|eco_conscious|single|renter,Minimalist|Industrial|Coastal,Neutrals,Dim Natural,535.76,0.035
CUST00050,35-44,eco_conscious|diy_enthusiast|home_chef,Traditional,Blues|Warm Earth Tones,Dim Artificial,557.17,0.238
CUST00051,25-34,pet_owner|family_with_kids|home_chef|homeowner,Scandinavian|Modern,Neutrals|Blues,Bright Artificial,1194.18,0.133
CUST00052,45-54,single|eco_conscious|pet_owner,Coastal|Farmhouse,Natural Wood|Blues,Bright Artificial,195.9,0.273
CUST00053,45-54,home_chef|pet_owner|couple|frequent_entertainer,Bohemian,Neutrals|Warm Earth Tones,Bright Natural,877.42,0.088
CUST00054,25-34,renter|pet_owner|frequent_entertainer|single,Coastal|Mid-Century|Bohemian,Warm Earth Tones,Bright Artificial,987.14,0.103
CUST00055,35-44,homeowner|couple|pet_owner,Minimalist,Black & White|Monochrome,Bright Natural,101.65,0.089
CUST00056,45-54,pet_owner|eco_conscious|frequent_entertainer,Eclectic,Neutrals,Dim Natural,1100.19,0.254
CUST00057,45-54,eco_conscious|home_chef|single|pet_owner,Minimalist|Farmhouse|Modern,Natural Wood|Black & White,Dim Artificial,1256.89,0.234
CUST00058,35-44,family_with_kids|couple,Traditional|Bohemian,Greens|Jewel Tones,Mixed,313.07,0.091
CUST00059,35-44,couple|renter|single,Bohemian|Scandinavian,Jewel Tones|Pastels,Dim Natural,403.43,0.266
CUST00060,18-24,single|home_chef|renter,Industrial,Neutrals|Metallics,Mixed,898.09,0.382
CUST00061,55-64,family_with_kids|pet_owner,Mid-Century|Industrial|Farmhouse,Jewel Tones,Dim Natural,220.51,0.084
CUST00062,25-34,renter|frequent_entertainer,Scandinavian|Bohemian,Black & White,Bright Natural,1409.85,0.346
CUST00063,45-54,home_chef|diy_enthusiast|single|frequent_entertainer,Farmhouse,Neutrals,Bright Artificial,1478.18,0.096
CUST00064,35-44,renter|homeowner|home_chef,Farmhouse|Minimalist|Industrial,Natural Wood,Dim Natural,1274.53,0.098
CUST00065,35-44,renter|pet_owner,Mid-Century|Coastal|Bohemian,Greens,Bright Artificial,469.11,0.125
CUST00066,55-64,diy_enthusiast|frequent_entertainer|eco_conscious|home_chef,Industrial,Blues|Jewel Tones,Bright Natural,1381.25,0.043
CUST00067,25-34,family_with_kids|couple,Eclectic|Modern,Metallics,Dim Natural,263.25,0.195
CUST00068,25-34,home_chef|frequent_entertainer|renter,Coastal|Minimalist,Metallics,Dim Artificial,1246.34,0.183
CUST00069,35-44,frequent_entertainer|family_with_kids|single,Modern|Coastal|Farmhouse,Blues|Metallics,Dim Natural,550.67,0.063
CUST00070,35-44,home_chef|homeowner|couple,Eclectic|Farmhouse,Monochrome|Pastels,Mixed,442.1,0.364
CUST00071,65+,home_chef|renter|pet_owner,Traditional,Blues|Greens,Mixed,1265.63,0.063
CUST00072,25-34,couple|frequent_entertainer,Modern,Pastels,Bright Artificial,550.01,0.398
CUST00073,25-34,frequent_entertainer|single|eco_conscious|pet_owner,Mid-Century|Eclectic,Metallics,Bright Natural,1481.94,0.456
CUST00074,45-54,renter|pet_owner|family_with_kids|couple,Scandinavian|Modern|Mid-Century,Metallics|Jewel Tones,Bright Artificial,190.1,0.182
CUST00075,55-64,single|renter|eco_conscious,Traditional|Industrial,Greens|Blues,Bright Artificial,355.21,0.149
CUST00076,55-64,home_chef|pet_owner|frequent_entertainer|eco_conscious,Farmhouse|Traditional,Black & White,Bright Natural,418.92,0.179
CUST00077,45-54,diy_enthusiast|frequent_entertainer|single,Industrial|Minimalist|Eclectic,Blues,Bright Natural,1481.89,0.299
CUST00078,25-34,couple|eco_conscious,Eclectic|Farmhouse|Coastal,Monochrome,Dim Natural,292.55,0.408
CUST00079,45-54,renter|pet_owner|home_chef,Eclectic|Coastal,Jewel Tones|Neutrals,Bright Natural,626.59,0.024
CUST00080,35-44,frequent_entertainer|homeowner|renter,Farmhouse|Eclectic,Natural Wood|Neutrals,Dim Natural,970.14,0.181
CUST00081,45-54,eco_conscious|pet_owner|couple,Bohemian|Coastal,Warm Earth Tones|Jewel Tones,Dim Natural,290.89,0.071
CUST00082,55-64,homeowner|renter,Bohemian|Industrial,Natural Wood,Dim Artificial,429.65,0.043
CUST00083,45-54,pet_owner|couple|renter|diy_enthusiast,Minimalist|Scandinavian|Modern,Black & White|Warm Earth Tones,Mixed,597.21,0.13
CUST00084,55-64,pet_owner|single,Modern,Monochrome,Dim Natural,163.71,0.071
CUST00085,45-54,diy_enthusiast|family_with_kids,Scandinavian|Bohemian,Jewel Tones|Natural Wood,Dim Natural,279.77,0.008
CUST00086,45-54,family_with_kids|renter,Eclectic,Black & White,Bright Natural,287.23,0.288
CUST00087,18-24,home_chef|single,Modern,Neutrals|Warm Earth Tones,Bright Natural,653.39,0.255
CUST00088,25-34,family_with_kids|homeowner|diy_enthusiast,Bohemian,Jewel Tones,Bright Natural,449.21,0.139
CUST00089,35-44,eco_conscious|renter,Scandinavian|Mid-Century,Metallics|Warm Earth Tones,Dim Natural,138.86,0.086
CUST00090,25-34,single|eco_conscious|renter,Minimalist|Mid-Century|Coastal,Monochrome|Metallics,Mixed,431.66,0.265
CUST00091,55-64,home_chef|family_with_kids,Modern|Traditional|Bohemian,Neutrals|Pastels,Dim Natural,952.69,0.025
CUST00092,45-54,single|couple|pet_owner,Bohemian|Mid-Century|Traditional,Warm Earth Tones,Bright Natural,120.94,0.12
CUST00093,25-34,homeowner|diy_enthusiast,Traditional|Industrial,Metallics|Greens,Mixed,279.93,0.022
CUST00094,45-54,home_chef|couple|frequent_entertainer,Coastal|Minimalist,Black & White,Mixed,1194.97,0.364
CUST00095,35-44,diy_enthusiast|couple|renter,Industrial|Bohemian|Farmhouse,Metallics,Bright Natural,592.65,0.148
CUST00096,25-34,renter|single|homeowner,Farmhouse,Pastels,Dim Natural,282.48,0.652
CUST00097,18-24,frequent_entertainer|renter|family_with_kids|diy_enthusiast,Minimalist|Farmhouse|Scandinavian,Greens,Dim Artificial,434.53,0.067
CUST00098,45-54,diy_enthusiast|home_chef,Minimalist|Traditional,Natural Wood|Monochrome,Mixed,1451.59,0.246
CUST00099,35-44,homeowner|single,Industrial|Bohemian,Greens,Dim Artificial,147.42,0.173
CUST00100,45-54,couple|family_with_kids,Minimalist,Jewel Tones|Greens,Dim Natural,511.79,0.433
CUST00101,18-24,pet_owner|family_with_kids,Mid-Century,Jewel Tones|Blues,Bright Natural,509.12,0.563
CUST00102,25-34,home_chef|renter|single|homeowner,Industrial,Warm Earth Tones|Blues,Dim Natural,1343.68,0.461
CUST00103,65+,family_with_kids|frequent_entertainer|home_chef,Farmhouse|Minimalist,Neutrals,Bright Natural,610.86,0.028
CUST00104,45-54,diy_enthusiast|family_with_kids,Modern|Mid-Century,Warm Earth Tones|Neutrals,Dim Artificial,208.0,0.253
CUST00105,18-24,homeowner|eco_conscious|home_chef,Mid-Century|Modern,Neutrals,Dim Natural,1239.92,0.031
CUST00106,55-64,family_with_kids|single|pet_owner|renter,Bohemian|Scandinavian|Minimalist,Greens,Dim Natural,532.09,0.199
CUST00107,35-44,diy_enthusiast|family_with_kids|single,Scandinavian|Coastal|Modern,Blues,Bright Natural,654.53,0.012
CUST00108,25-34,renter|family_with_kids,Eclectic|Farmhouse,Monochrome|Greens,Bright Natural,325.41,0.198
CUST00109,55-64,pet_owner|couple|renter,Bohemian,Greens,Mixed,397.36,0.048
CUST00110,25-34,eco_conscious|home_chef,Coastal,Warm Earth Tones,Bright Artificial,1154.07,0.119
CUST00111,18-24,home_chef|family_with_kids,Modern|Coastal,Pastels|Blues,Mixed,352.81,0.166
CUST00112,45-54,frequent_entertainer|homeowner|diy_enthusiast,Traditional,Natural Wood,Mixed,326.79,0.201
CUST00113,35-44,homeowner|single|pet_owner,Minimalist,Neutrals,Dim Natural,543.79,0.729
CUST00114,25-34,frequent_entertainer|eco_conscious|single|family_with_kids,Farmhouse|Traditional|Mid-Century,Black & White,Mixed,1446.58,0.068
CUST00115,55-64,family_with_kids|eco_conscious,Modern|Eclectic|Bohemian,Blues,Dim Artificial,205.29,0.192
CUST00116,25-34,pet_owner|home_chef|family_with_kids|single,Scandinavian|Modern,Black & White|Warm Earth Tones,Bright Natural,772.85,0.123
CUST00117,25-34,single|home_chef|couple|eco_conscious,Mid-Century,Warm Earth Tones,Dim Artificial,608.03,0.097
CUST00118,45-54,frequent_entertainer|pet_owner,Industrial|Coastal,Jewel Tones,Dim Natural,860.29,0.281
CUST00119,18-24,family_with_kids|renter,Eclectic,Natural Wood,Bright Artificial,410.8,0.233
CUST00120,25-34,renter|frequent_entertainer,Minimalist|Traditional,Metallics|Neutrals,Dim Natural,510.24,0.129
CUST00121,35-44,frequent_entertainer|homeowner|couple|home_chef,Scandinavian,Metallics|Jewel Tones,Dim Natural,1374.38,0.433
CUST00122,35-44,diy_enthusiast|single|renter|couple,Bohemian|Eclectic,Metallics,Dim Artificial,236.85,0.309
CUST00123,55-64,pet_owner|family_with_kids,Scandinavian,Warm Earth Tones,Dim Artificial,398.21,0.31
CUST00124,45-54,renter|homeowner|diy_enthusiast,Coastal|Minimalist,Jewel Tones,Dim Artificial,262.65,0.298
CUST00125,25-34,family_with_kids|renter|eco_conscious,Modern,Pastels,Bright Artificial,400.56,0.058
CUST00126,45-54,family_with_kids|frequent_entertainer|pet_owner,Traditional,Black & White,Bright Artificial,1487.23,0.073
CUST00127,25-34,couple|pet_owner,Mid-Century,Metallics,Mixed,131.63,0.261
CUST00128,65+,single|eco_conscious|homeowner,Traditional|Farmhouse,Jewel Tones,Dim Artificial,214.22,0.103
CUST00129,55-64,homeowner|home_chef,Bohemian|Traditional,Warm Earth Tones|Jewel Tones,Bright Natural,563.98,0.067
CUST00130,18-24,renter|family_with_kids|homeowner,Modern,Pastels|Monochrome,Mixed,496.67,0.168
CUST00131,65+,frequent_entertainer|family_with_kids|eco_conscious,Farmhouse|Coastal,Pastels|Jewel Tones,Mixed,1209.82,0.044
CUST00132,65+,family_with_kids|eco_conscious,Coastal,Metallics|Greens,Dim Natural,219.34,0.186
CUST00133,65+,eco_conscious|couple|family_with_kids|renter,Traditional,Warm Earth Tones|Natural Wood,Bright Natural,206.69,0.036
CUST00134,25-34,diy_enthusiast|home_chef,Eclectic,Jewel Tones,Mixed,1482.58,0.131
CUST00135,35-44,frequent_entertainer|couple,Modern|Traditional,Blues,Mixed,821.15,0.305
CUST00136,35-44,home_chef|pet_owner|diy_enthusiast,Industrial|Modern,Black & White|Blues,Bright Natural,1127.94,0.062
CUST00137,55-64,couple|homeowner|eco_conscious,Mid-Century,Jewel Tones,Dim Artificial,501.42,0.114
CUST00138,35-44,single|home_chef|frequent_entertainer|homeowner,Farmhouse|Eclectic,Monochrome,Dim Natural,304.16,0.061
CUST00139,55-64,family_with_kids|frequent_entertainer|home_chef|single,Minimalist,Pastels,Bright Artificial,851.65,0.06
CUST00140,45-54,diy_enthusiast|renter,Coastal|Minimalist,Blues,Dim Natural,252.4,0.313
CUST00141,45-54,frequent_entertainer|pet_owner|couple|diy_enthusiast,Coastal|Minimalist|Modern,Jewel Tones,Mixed,884.0,0.039
CUST00142,65+,renter|pet_owner,Farmhouse|Coastal|Mid-Century,Metallics,Bright Natural,470.88,0.014
CUST00143,25-34,renter|family_with_kids,Eclectic|Coastal|Modern,Blues,Dim Artificial,471.19,0.198
CUST00144,25-34,home_chef|frequent_entertainer,Traditional|Bohemian|Modern,Greens|Blues,Dim Natural,631.88,0.405
CUST00145,55-64,family_with_kids|eco_conscious,Farmhouse|Eclectic|Bohemian,Monochrome|Blues,Dim Natural,569.99,0.064
CUST00146,65+,couple|frequent_entertainer,Modern|Mid-Century,Pastels,Bright Artificial,695.14,0.075
CUST00147,35-44,family_with_kids|frequent_entertainer|single|pet_owner,Modern|Eclectic|Coastal,Monochrome,Bright Artificial,902.69,0.116
CUST00148,65+,frequent_entertainer|renter|homeowner,Eclectic,Natural Wood,Bright Natural,1390.51,0.016
CUST00149,65+,couple|family_with_kids|homeowner,Mid-Century,Pastels|Black & White,Bright Artificial,556.04,0.012
CUST00150,25-34,couple|renter|diy_enthusiast|frequent_entertainer,Traditional|Scandinavian,Jewel Tones|Natural Wood,Bright Natural,397.43,0.204
CUST00151,18-24,single|family_with_kids|couple,Mid-Century|Modern,Greens|Monochrome,Dim Natural,451.3,0.526
CUST00152,45-54,renter|pet_owner|diy_enthusiast,Industrial|Mid-Century,Black & White,Dim Natural,588.87,0.067
CUST00153,25-34,couple|home_chef|diy_enthusiast,Industrial|Coastal,Neutrals,Mixed,1341.23,0.363
CUST00154,55-64,eco_conscious|homeowner,Scandinavian|Farmhouse,Pastels|Metallics,Bright Artificial,205.05,0.036
CUST00155,35-44,diy_enthusiast|home_chef|single|pet_owner,Traditional|Minimalist,Natural Wood|Warm Earth Tones,Bright Artificial,1194.26,0.255
CUST00156,55-64,eco_conscious|single|home_chef|family_with_kids,Traditional|Coastal|Modern,Warm Earth Tones|Pastels,Bright Natural,1102.91,0.069
CUST00157,35-44,frequent_entertainer|homeowner|couple|renter,Traditional,Pastels,Dim Natural,1123.79,0.298
CUST00158,45-54,frequent_entertainer|family_with_kids,Scandinavian,Natural Wood,Bright Natural,1131.05,0.077
CUST00159,35-44,diy_enthusiast|couple,Farmhouse|Industrial|Bohemian,Natural Wood,Mixed,408.08,0.127
CUST00160,35-44,family_with_kids|diy_enthusiast,Coastal|Bohemian|Industrial,Pastels|Metallics,Bright Natural,284.71,0.241
CUST00161,35-44,homeowner|pet_owner|family_with_kids|eco_conscious,Coastal|Mid-Century|Minimalist,Warm Earth Tones|Black & White,Bright Artificial,364.7,0.286
CUST00162,25-34,single|homeowner|frequent_entertainer|couple,Farmhouse|Minimalist,Black & White,Dim Artificial,699.86,0.218
CUST00163,45-54,pet_owner|frequent_entertainer|eco_conscious,Mid-Century|Farmhouse,Greens|Blues,Bright Artificial,542.32,0.086
CUST00164,35-44,diy_enthusiast|renter|single|frequent_entertainer,Coastal,Blues,Mixed,909.36,0.029
CUST00165,65+,homeowner|family_with_kids,Minimalist|Eclectic|Traditional,Warm Earth Tones,Bright Artificial,524.71,0.098
CUST00166,55-64,couple|renter,Traditional|Mid-Century|Modern,Warm Earth Tones|Jewel Tones,Bright Natural,567.28,0.014
CUST00167,35-44,couple|pet_owner|single,Bohemian|Farmhouse,Pastels,Dim Artificial,550.23,0.148
CUST00168,45-54,pet_owner|single|frequent_entertainer,Scandinavian,Neutrals|Greens,Mixed,802.26,0.106
CUST00169,25-34,couple|frequent_entertainer,Bohemian|Traditional,Blues|Metallics,Dim Natural,653.6,0.337
CUST00170,18-24,family_with_kids|single,Industrial,Warm Earth Tones,Mixed,272.48,0.215
CUST00171,65+,home_chef|homeowner|frequent_entertainer,Eclectic|Bohemian,Pastels,Bright Artificial,1081.35,0.102
CUST00172,45-54,eco_conscious|single|renter|pet_owner,Traditional|Minimalist|Mid-Century,Blues,Dim Artificial,261.66,0.05
CUST00173,45-54,homeowner|pet_owner|frequent_entertainer,Modern,Warm Earth Tones|Metallics,Dim Artificial,310.84,0.172
CUST00174,25-34,single|frequent_entertainer|home_chef,Mid-Century|Industrial|Modern,Natural Wood|Monochrome,Bright Artificial,415.26,0.137
CUST00175,45-54,single|homeowner,Coastal,Pastels|Blues,Mixed,196.54,0.142
CUST00176,25-34,home_chef|homeowner|pet_owner,Bohemian,Jewel Tones|Blues,Mixed,679.3,0.386
CUST00177,25-34,diy_enthusiast|couple,Farmhouse|Minimalist|Modern,Black & White,Bright Artificial,474.48,0.234
CUST00178,35-44,homeowner|home_chef,Bohemian|Coastal|Scandinavian,Pastels,Dim Natural,596.81,0.187
CUST00179,45-54,single|frequent_entertainer,Industrial|Eclectic|Minimalist,Greens,Dim Artificial,1093.93,0.227
CUST00180,18-24,couple|renter|pet_owner|single,Coastal,Monochrome,Bright Artificial,355.55,0.133
CUST00181,45-54,homeowner|family_with_kids,Mid-Century|Scandinavian|Modern,Metallics|Black & White,Dim Natural,101.49,0.127
CUST00182,45-54,eco_conscious|home_chef|homeowner,Minimalist|Farmhouse|Traditional,Monochrome,Mixed,635.93,0.138
CUST00183,45-54,frequent_entertainer|home_chef|renter,Modern|Mid-Century,Greens|Pastels,Dim Artificial,737.74,0.111
CUST00184,18-24,home_chef|family_with_kids|renter,Traditional,Monochrome|Warm Earth Tones,Mixed,396.73,0.309
CUST00185,18-24,diy_enthusiast|home_chef,Mid-Century|Scandinavian,Warm Earth Tones,Bright Natural,920.8,0.097
CUST00186,35-44,eco_conscious|frequent_entertainer|renter,Mid-Century|Farmhouse|Coastal,Metallics,Dim Natural,896.15,0.359
CUST00187,18-24,home_chef|frequent_entertainer|single|eco_conscious,Minimalist|Bohemian|Mid-Century,Pastels,Dim Natural,948.98,0.105
CUST00188,18-24,diy_enthusiast|homeowner|pet_owner|frequent_entertainer,Farmhouse,Pastels|Blues,Dim Artificial,1183.62,0.294
CUST00189,35-44,pet_owner|single|family_with_kids,Mid-Century,Black & White,Dim Natural,456.31,0.194
CUST00190,45-54,home_chef|single|renter,Scandinavian|Industrial|Traditional,Blues|Natural Wood,Bright Artificial,1111.12,0.157
CUST00191,45-54,couple|single|renter,Bohemian|Modern|Mid-Century,Jewel Tones,Bright Artificial,226.67,0.232
CUST00192,18-24,home_chef|single|family_with_kids,Traditional|Scandinavian|Modern,Metallics|Monochrome,Bright Natural,474.06,0.453
CUST00193,45-54,family_with_kids|couple|eco_conscious|diy_enthusiast,Farmhouse|Industrial,Metallics,Bright Natural,774.54,0.15
CUST00194,55-64,diy_enthusiast|homeowner,Traditional,Blues,Dim Artificial,751.82,0.143
CUST00195,65+,homeowner|single|renter|home_chef,Scandinavian,Jewel Tones,Dim Natural,1180.57,0.186
CUST00196,18-24,home_chef|homeowner,Eclectic|Bohemian,Black & White,Bright Artificial,1240.02,0.222
CUST00197,55-64,family_with_kids|frequent_entertainer,Eclectic|Scandinavian|Minimalist,Black & White,Bright Artificial,568.61,0.059
CUST00198,65+,pet_owner|renter|single|family_with_kids,Modern|Minimalist|Bohemian,Jewel Tones|Neutrals,Mixed,378.36,0.059
CUST00199,35-44,family_with_kids|diy_enthusiast|renter,Farmhouse,Pastels,Dim Artificial,455.63,0.085
CUST00200,35-44,family_with_kids|renter|pet_owner|home_chef,Traditional|Eclectic,Blues,Dim Natural,997.71,0.078
CUST00201,35-44,homeowner|family_with_kids|frequent_entertainer,Scandinavian,Warm Earth Tones|Metallics,Bright Artificial,1107.96,0.46
CUST00202,45-54,pet_owner|family_with_kids,Industrial|Farmhouse|Bohemian,Pastels|Black & White,Dim Natural,378.23,0.206
CUST00203,45-54,pet_owner|frequent_entertainer|family_with_kids|renter,Eclectic|Bohemian|Traditional,Greens|Metallics,Bright Artificial,906.73,0.073
CUST00204,45-54,couple|renter,Minimalist|Mid-Century|Modern,Neutrals,Bright Natural,103.86,0.136
CUST00205,35-44,single|homeowner|family_with_kids,Mid-Century|Minimalist|Traditional,Monochrome|Warm Earth Tones,Bright Artificial,132.69,0.122
CUST00206,25-34,homeowner|renter|diy_enthusiast,Traditional|Mid-Century|Eclectic,Neutrals|Greens,Dim Natural,339.38,0.45
CUST00207,45-54,renter|diy_enthusiast|pet_owner,Eclectic,Blues|Metallics,Bright Natural,393.39,0.052
CUST00208,25-34,couple|pet_owner|home_chef,Mid-Century|Eclectic,Metallics|Blues,Bright Artificial,654.34,0.328
CUST00209,55-64,homeowner|diy_enthusiast|frequent_entertainer|pet_owner,Industrial,Metallics,Dim Artificial,1354.57,0.169
CUST00210,18-24,renter|frequent_entertainer|single,Scandinavian|Coastal|Bohemian,Warm Earth Tones,Mixed,1458.87,0.246
CUST00211,35-44,couple|pet_owner|family_with_kids,Coastal|Modern,Natural Wood,Dim Natural,212.63,0.034
CUST00212,55-64,renter|homeowner,Bohemian|Traditional,Blues|Monochrome,Bright Natural,504.28,0.046
CUST00213,25-34,homeowner|family_with_kids,Bohemian,Jewel Tones,Bright Artificial,590.82,0.082
CUST00214,35-44,renter|couple|eco_conscious|single,Modern|Traditional,Black & White|Monochrome,Dim Artificial,197.01,0.093
CUST00215,35-44,pet_owner|renter,Modern,Black & White|Blues,Bright Artificial,265.04,0.113
CUST00216,25-34,home_chef|diy_enthusiast|eco_conscious|single,Industrial|Traditional|Mid-Century,Black & White|Warm Earth Tones,Dim Natural,748.06,0.319
CUST00217,35-44,couple|pet_owner,Minimalist,Pastels,Bright Artificial,146.32,0.053
CUST00218,55-64,homeowner|single|pet_owner,Coastal|Farmhouse,Warm Earth Tones|Black & White,Dim Artificial,435.09,0.265
CUST00219,18-24,frequent_entertainer|home_chef|pet_owner|renter,Farmhouse|Modern,Warm Earth Tones|Jewel Tones,Bright Natural,622.23,0.319
CUST00220,45-54,homeowner|renter,Mid-Century|Coastal|Scandinavian,Blues,Bright Artificial,550.83,0.152
CUST00221,65+,homeowner|couple|family_with_kids|eco_conscious,Eclectic|Mid-Century|Scandinavian,Jewel Tones|Natural Wood,Dim Artificial,533.17,0.027
CUST00222,25-34,diy_enthusiast|eco_conscious|family_with_kids,Minimalist|Farmhouse|Eclectic,Neutrals|Monochrome,Dim Artificial,295.94,0.245
CUST00223,45-54,couple|homeowner,Eclectic|Minimalist,Neutrals|Natural Wood,Mixed,507.05,0.109
CUST00224,55-64,single|frequent_entertainer,Farmhouse,Neutrals,Dim Artificial,415.9,0.018
CUST00225,25-34,eco_conscious|home_chef,Eclectic,Neutrals,Dim Artificial,976.21,0.475
